Advanced methods in protein mass spectrometry and proteomics,The PhD School at the Faculty of Science at the University of Southern Denmark,01 September 2020 -,10 ,https://odin.sdu.dk/sitecore/index.php?a=searchfagbesk&internkode=bmb205&lang=en
Aquaculture Economics and Management,PhD School at the Faculty of SCIENCE at University of Copenhagen,03 November 2025 - 07 November 2025,5 ,https://phdcourses.ku.dk/detailkursus.aspx?id=112638&sitepath=NAT
Artificial intelligence for scientific and academic writing,Graduate School of Health Sciences at Aarhus University,13 November 2025 - 20 November 2025,2.5 ,https://au.phd-courses.dk/CourseCatalog/ShowCourse/1668
Designing and succeeding with animal experiment,Graduate School of Health and Medical Sciences at University of Copenhagen,16 June 2025 - 03 September 2025,6 ,https://phdcourses.ku.dk/detailkursus.aspx?id=112770&sitepath=SUND
4th symposium on the advances in biomedical engineering and neuroscience (2025),Doctoral School in Medicine. Biomedical Science and Technology at Aalborg University,08 December 2025 - 09 December 2025,1.5 ,https://phd.moodle.aau.dk/course/view.php?id=2598
A Cross and inter-disciplinary approach to System thinking – theories and methodologies (2025),The Technical Doctoral School of IT and Design at Aalborg University,03 December 2025 - 05 December 2025,3 ,https://phd.moodle.aau.dk/course/view.php?id=2546
A Model Based Design Approach for Integration of Co-Located Hybrid Plants in Future Energy System 2025,Doctoral School of Engineering and Science at Aalborg University,17 March 2025 - 20 March 2025,3.5 ,https://phd.moodle.aau.dk/course/view.php?id=2567
Absolute environmental sustainability assessment of production and consumption in a systems perspective,DTU Department of Environmental Engineering,Not found,2.5 ,https://kurser.dtu.dk/course/12953
Academic Freedom in the Politicocene,Graduate School. Arts at Aarhus University,27 May 2025 - 28 May 2025,27 May 2025 - 28 May 2025,https://au.phd-courses.dk/CourseCatalog/ShowCourse/1712
Academic Information Searching - Methods. Sources and Documentation Spring - F CPH 2025,Doctoral School of Engineering and Science at Aalborg University,30 April 2025 - 30 April 2025,1 ,https://phd.moodle.aau.dk/course/view.php?id=2528
Academic Information Searching: Methods. Sources and Documentation - G CPH (2025),Doctoral School of Engineering and Science at Aalborg University,19 November 2025 - 19 November 2025,1 ,https://phd.moodle.aau.dk/course/view.php?id=2529
Academic Writing – a hands-on course on reporting scientific results in peer-reviewed journals,Aarhus BSS Graduate School at Aarhus University,15 September 2025 - 17 December 2025,5 ,https://psy.medarbejdere.au.dk/phd-informationer/courses/academic-writing
Academic writing - How to create good texts,Graduate School of Health and Medical Sciences at University of Copenhagen,17 February 2025 - 18 February 2025,1.5 ,https://phdcourses.ku.dk/detailkursus.aspx?id=112434&sitepath=SUND
Academic writing - How to create good texts,Graduate School of Health and Medical Sciences at University of Copenhagen,31 March 2025 - 01 April 2025,1.5 ,https://phdcourses.ku.dk/detailkursus.aspx?id=112435&sitepath=SUND
Academic writing - How to create good texts,Graduate School of Health and Medical Sciences at University of Copenhagen,16 June 2025 - 17 June 2025,1.5 ,https://phdcourses.ku.dk/detailkursus.aspx?id=112436&sitepath=SUND
Academic Writing Level 1,Graduate School of Health and Medical Sciences at University of Copenhagen,03 March 2025 - 10 March 2025,2.5 ,https://phdcourses.ku.dk/detailkursus.aspx?id=112668&sitepath=SUND
Academic Writing Level 1,Graduate School of Health and Medical Sciences at University of Copenhagen,28 April 2025 - 05 May 2025,2.5 ,https://phdcourses.ku.dk/detailkursus.aspx?id=112669&sitepath=SUND
Academic Writing Level 1,Graduate School of Health and Medical Sciences at University of Copenhagen,16 June 2025 - 23 June 2025,2.5 ,https://phdcourses.ku.dk/detailkursus.aspx?id=112670&sitepath=SUND
Academic Writing Level 1,Graduate School of Health and Medical Sciences at University of Copenhagen,11 August 2025 - 18 August 2025,2.5 ,https://phdcourses.ku.dk/detailkursus.aspx?id=112671&sitepath=SUND
Academic Writing Level 1,Graduate School of Health and Medical Sciences at University of Copenhagen,15 September 2025 - 25 September 2025,2.5 ,https://phdcourses.ku.dk/detailkursus.aspx?id=112672&sitepath=SUND
Academic Writing Level 1,Graduate School of Health and Medical Sciences at University of Copenhagen,10 November 2025 - 17 November 2025,2.5 ,https://phdcourses.ku.dk/detailkursus.aspx?id=112673&sitepath=SUND
Acquisition and processing of seismic data(Gl. NAT),PhD School at the Faculty of SCIENCE at University of Copenhagen,Not found,7.5 ,http://ln@geo.ku.dk
Advanced Analysis Techniques,DTU Department of Informatics and Mathematical Modeling,Not found,5 ,https://kurser.dtu.dk/course/02913
Advanced Computational Fluid Dynamics (2025),Doctoral School of Engineering and Science at Aalborg University,18 August 2025 - 21 August 2025,4 ,https://phd.moodle.aau.dk/course/view.php?id=2572
Advanced course in Laboratory Animal Science,Graduate School of Health Sciences at Aarhus University,27 October 2025 - 31 October 2025,5 ,https://au.phd-courses.dk/CourseCatalog/ShowCourse/1548
Advanced course in Laboratory Animal Science – Porcine models in biomedical research,Graduate School of Health Sciences at Aarhus University,17 February 2025 - 21 February 2025,5 ,https://au.phd-courses.dk/CourseCatalog/ShowCourse/1538
Advanced Course in Written English,Graduate School of Health Sciences at Aarhus University,19 February 2025 - 25 March 2025,2.5 ,https://au.phd-courses.dk/CourseCatalog/ShowCourse/1655
Advanced Course in Written English,Graduate School of Health Sciences at Aarhus University,02 September 2025 - 23 September 2025,2.5 ,https://au.phd-courses.dk/CourseCatalog/ShowCourse/1656
Advanced Course in Written English - Online,Graduate School of Health Sciences at Aarhus University,12 March 2025 - 02 April 2025,2.5 ,https://au.phd-courses.dk/CourseCatalog/ShowCourse/1651
Advanced Course in Written English - Online,Graduate School of Health Sciences at Aarhus University,02 May 2025 - 22 May 2025,2.5 ,https://au.phd-courses.dk/CourseCatalog/ShowCourse/1652
Advanced Course on Molecular simulation of fluids: Fundamentals and industrial applications,DTU Department of Chemical and Biochemical Engineering,Not found,7.5 ,https://kurser.dtu.dk/course/28989
Advanced cutaneous stimulation (2025),Doctoral School in Medicine. Biomedical Science and Technology at Aalborg University,26 May 2025 - 11 June 2025,1.5 ,https://phd.moodle.aau.dk/course/view.php?id=2596
Advanced Econometrics (ECON. 6652),Aarhus BSS Graduate School at Aarhus University,30 January 2023 -,10 ,https://econ.au.dk/talent-development/phd-programme/phdcourses/semester-courses/
Advanced Econometrics and Data Science,CBS PhD School,20 January 2025 - 06 March 2025,7.5 ,https://phdsupport.nemtilmeld.dk/160/
Advanced electron microscopy physics,DTU Department of Physics,Not found,5 ,https://kurser.dtu.dk/course/10519
Advanced Energy System Analysis on the EnergyPLAN model 2025,The Technical Doctoral School of IT and Design at Aalborg University,28 April 2025 - 01 May 2025,5 ,https://phd.moodle.aau.dk/course/view.php?id=2543
Advanced engineering thermodynamics,DTU Department of Mechanical Engineering,Not found,7.5 ,https://kurser.dtu.dk/course/41491
Advanced Financial Econometrics (ECON. 6327),Aarhus BSS Graduate School at Aarhus University,30 January 2023 -,10 ,https://econ.au.dk/talent-development/phd-programme/phdcourses/semester-courses/
Advanced Finite Element Simulations Using Abaqus,DTU Department of Wind Energy,Not found,5 ,https://kurser.dtu.dk/course/46910
Advanced Flow Cytometry,Graduate School of Health Sciences at Aarhus University,28 April 2025 - 01 May 2025,2.8 ,https://au.phd-courses.dk/CourseCatalog/ShowCourse/1636
Advanced flow cytometry II,Graduate School of Health and Medical Sciences at University of Copenhagen,24 February 2025 - 06 May 2025,5.4 ,https://phdcourses.ku.dk/detailkursus.aspx?id=112221&sitepath=SUND
Advanced GIS in Health Sciences,Graduate School of Health Sciences at Aarhus University,20 October 2025 - 24 October 2025,5 ,https://au.phd-courses.dk/CourseCatalog/ShowCourse/1606
Advanced In-vivo Optical Imaging Techniques,Graduate School of Health Sciences at Aarhus University,18 August 2025 - 12 September 2025,3.3 ,https://au.phd-courses.dk/CourseCatalog/ShowCourse/1619
Advanced LCA – Consequential and IO-based Life Cycle Assessment (2025),The Technical Doctoral School of IT and Design at Aalborg University,25 March 2025 - 14 May 2025,5 ,https://phd.moodle.aau.dk/course/view.php?id=2539
Advanced Mathematics for PhD Candidates 2025,Doctoral School of Engineering and Science at Aalborg University,03 December 2025 - 17 December 2025,4 ,https://phd.moodle.aau.dk/course/view.php?id=2512
Advanced Microeconometrics (ECON 6653),Aarhus BSS Graduate School at Aarhus University,30 January 2023 -,5 ,https://econ.au.dk/talent-development/phd-programme/phdcourses/semester-courses/
Advanced Microeconomic Theory (ECON. 6450),Aarhus BSS Graduate School at Aarhus University,30 January 2023 -,10 ,https://econ.au.dk/talent-development/phd-programme/phdcourses/semester-courses/
Advanced microwave and high-speed integrated circuits,DTU National Space Institute,Not found,10 ,https://kurser.dtu.dk/course/30970
Advanced Musculoskeletal Modeling with Emphasis on the Thoracic Spine and the Shoulder 2025,Doctoral School of Engineering and Science at Aalborg University,28 April 2025 - 02 May 2025,4 ,https://phd.moodle.aau.dk/course/view.php?id=2581
Advanced Natural Language Processing for Industry - Theory and Practice (2025),Doctoral School of Engineering and Science at Aalborg University,24 November 2025 - 28 November 2025,3 ,https://phd.moodle.aau.dk/course/view.php?id=2586
Advanced Neuroscience – Molecular. cellular and synaptic properties,Graduate School of Health and Medical Sciences at University of Copenhagen,10 March 2025 - 14 March 2025,5 ,https://phdcourses.ku.dk/detailkursus.aspx?id=112511&sitepath=SUND
Advanced NMR spectroscopy,DTU Department of Chemistry,Not found,5 ,https://kurser.dtu.dk/course/26944
Advanced Observational Astrophysics,PhD School at the Faculty of SCIENCE at University of Copenhagen,28 July 2025 - 17 August 2025,7.5 ,https://phdcourses.ku.dk/detailkursus.aspx?id=112346&sitepath=NAT
Advanced Optimization and Control in Power and Energy Systems (2025),Doctoral School of Engineering and Science at Aalborg University,15 September 2025 - 18 September 2025,3.5 ,https://phd.moodle.aau.dk/course/view.php?id=2575
Advanced PhD course on Philosophy of Technology - Relating Technology to Ethics Politics and the Empirical through the Lenses of Postphenomenology and Critical Theory of Technology/Critical Constructivism (2025),The Technical Doctoral School of IT and Design at Aalborg University,11 December 2025 - 12 December 2025,2 ,https://phd.moodle.aau.dk/course/view.php?id=2545
Advanced protein structure engineering and analysis,DTU Department of Systems Biology,Not found,5 ,https://kurser.dtu.dk/course/27845
Advanced Qualitative Methods (2025),Doctoral School of Engineering and Science at Aalborg University,18 November 2025 - 19 November 2025,4 ,https://phd.moodle.aau.dk/course/view.php?id=2476
Advanced Spectral Estimation (2025),The Technical Doctoral School of IT and Design at Aalborg University,25 August 2025 - 29 August 2025,3 ,https://phd.moodle.aau.dk/course/view.php?id=2552
Advanced Statistical Topics in Health Research,Graduate School of Health and Medical Sciences at University of Copenhagen,17 March 2025 - 21 March 2025,3.5 ,https://phdcourses.ku.dk/detailkursus.aspx?id=112751&sitepath=SUND
Advanced Synthetic Biology for Creating Sustainable Cell Factories,Novo Nordisk Foundation Center for Biosustainability,Not found,5 ,https://kurser.dtu.dk/course/29902
Advanced Topics in Biomaterials Science and Engineering,DTU Department of Health Technology,Not found,3 ,https://kurser.dtu.dk/course/22282
Advanced Topics in Data Analysis,Graduate School of Health and Medical Sciences at University of Copenhagen,26 May 2025 - 06 June 2025,5 ,https://phdcourses.ku.dk/detailkursus.aspx?id=112430&sitepath=SUND
Advanced topics in hearing research,DTU Department of Health Technology,Not found,5 ,https://kurser.dtu.dk/course/22005
Advanced Topics in Machine Learning,DTU Department of Informatics and Mathematical Modeling,Not found,2.5 ,https://kurser.dtu.dk/course/02901
Advanced topics in marine engineering,DTU Department of Mechanical Engineering,Not found,5 ,https://kurser.dtu.dk/course/41292
Advanced Topics in Process Systems Engineering,DTU Department of Chemical and Biochemical Engineering,Not found,7.5 ,https://kurser.dtu.dk/course/28905
Advanced Topics in Process Technology,DTU Department of Chemical and Biochemical Engineering,Not found,7.5 ,https://kurser.dtu.dk/course/28927
Advanced ultrasound research tools,DTU Department of Health Technology,Not found,10 ,https://kurser.dtu.dk/course/22487
